epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1591.74,0.60009,0.33829,0.86008,0.86758,0.65632,0.73737,0.49546,0.70548,0.37563,0.74451,9.90318e-05,9.90318e-05,9.90318e-05
89,1610.15,0.56903,0.31981,0.86198,0.86217,0.65895,0.73614,0.49533,0.70629,0.37462,0.74454,9.19632e-05,9.19632e-05,9.19632e-05
90,1626.96,0.5809,0.33386,0.86698,0.88951,0.64333,0.73777,0.49612,0.70525,0.37473,0.74497,8.48946e-05,8.48946e-05,8.48946e-05
91,1647.69,0.6509,0.3418,0.84719,0.87692,0.64975,0.73371,0.49117,0.70486,0.3738,0.74282,7.7826e-05,7.7826e-05,7.7826e-05
92,1665.47,0.64362,0.33766,0.84754,0.89443,0.64591,0.7363,0.4935,0.70667,0.37395,0.74502,7.07574e-05,7.07574e-05,7.07574e-05
93,1683.35,0.6434,0.34277,0.84375,0.87526,0.65821,0.73904,0.49778,0.70368,0.37436,0.74541,6.36888e-05,6.36888e-05,6.36888e-05
94,1701.8,0.6524,0.34489,0.84745,0.88747,0.65061,0.73714,0.49665,0.70294,0.36933,0.74377,5.66202e-05,5.66202e-05,5.66202e-05
95,1718.59,0.65621,0.34502,0.84329,0.86842,0.65942,0.73575,0.49493,0.69968,0.37255,0.7448,4.95516e-05,4.95516e-05,4.95516e-05
96,1736.98,0.64321,0.33673,0.84809,0.88278,0.65558,0.74045,0.49658,0.70044,0.36833,0.7438,4.2483e-05,4.2483e-05,4.2483e-05
97,1753.73,0.64731,0.33735,0.84468,0.87839,0.65326,0.73965,0.49768,0.69993,0.36815,0.7422,3.54144e-05,3.54144e-05,3.54144e-05
98,1771.68,0.6396,0.34024,0.83709,0.87039,0.65681,0.73994,0.49896,0.69954,0.36988,0.74358,2.83458e-05,2.83458e-05,2.83458e-05
99,1790.4,0.63623,0.33309,0.84255,0.86815,0.65847,0.73858,0.49872,0.69883,0.36812,0.74379,2.12772e-05,2.12772e-05,2.12772e-05
100,1807.1,0.62996,0.33207,0.8432,0.889,0.64609,0.73705,0.49936,0.69667,0.36584,0.74352,1.42086e-05,1.42086e-05,1.42086e-05
